Period,Return %,VOO return %,Excess vs VOO %,Annualized %,Sharpe,Max drawdown %,Recovery sessions,TQQQ time %,Turnover,Sessions
rolling_756_2017-06-12,29.75722047078049,32.215907332504614,-2.458686861724124,9.341042821686397,0.45757591621094684,-45.397397237446555,-1,20.8994708994709,4.0,756
rolling_756_2017-09-11,29.447361188834797,31.9001767245338,-2.4528155356990045,8.94866695536669,0.45471312109333367,-45.39739723744649,490,20.8994708994709,4.0,756
rolling_756_2017-12-08,13.446307519219204,36.26277453886089,-22.816467019641685,6.044790232757458,0.29272407329510486,-43.45390955006946,384,16.402116402116402,3.0,756
rolling_756_2018-03-13,28.379122350704588,42.31035182027074,-13.931229469566153,8.903804955175975,0.4520046679779704,-43.45390955006948,384,15.873015873015872,2.0,756
rolling_756_2018-06-12,26.683274655287214,40.43047697964612,-13.74720232435891,8.46650320021045,0.4334370420669273,-43.45390955006946,384,15.873015873015872,2.0,756
rolling_756_2018-09-11,41.804820225486125,57.19295697450533,-15.3881367490192,12.188642295648112,0.5844909489948532,-43.45390955006948,384,15.873015873015872,2.0,756
rolling_756_2018-12-11,3.944300025950964,36.77763015032915,-32.83333012437819,0.8225604875974346,0.18951441791112325,-41.95828614832756,367,14.550264550264549,2.0,756
rolling_756_2019-03-14,54.01948122229183,47.52753988142586,6.49194134086597,15.27264073681871,0.6498357167297727,-48.73970832344801,-1,14.550264550264549,2.0,756
rolling_756_2019-06-13,41.0802224786045,46.534899634865724,-5.454677156261223,12.4476823839885,0.5373249041142567,-48.73970832344799,87,16.666666666666664,2.0,756
rolling_756_2019-09-12,44.48932786797426,50.07581350145496,-5.586485633480698,12.527050497605696,0.5636164565692787,-48.73970832344797,87,16.666666666666664,2.0,756
rolling_756_2019-12-11,42.80233423987241,48.323594532448965,-5.5212602925765575,12.367570010156804,0.5504483449157805,-48.739708323448006,87,16.666666666666664,2.0,756
rolling_756_2020-03-13,-14.558426279660065,20.84989430348305,-35.408320583143116,-5.005309026142979,0.0913578952035737,-53.72568004753294,-1,17.857142857142858,3.0,756
rolling_756_2020-06-12,23.978673012895246,32.73213577833594,-8.75346276544069,7.25854791317897,0.4223967957302631,-63.28862995478233,82,26.190476190476193,3.0,756
rolling_756_2020-09-11,99.32851367978613,42.32266263402684,57.00585104575928,25.71704721519459,0.693494630825439,-63.28862995478231,82,33.86243386243386,4.0,756
rolling_756_2020-12-10,105.15741711509551,46.48456120957314,58.67285590552238,26.949754188817153,0.7090693343835893,-63.288629954782316,82,33.86243386243386,4.0,756
rolling_756_2021-03-15,112.64201430922638,51.82864260438647,60.813371704839916,28.78218639724168,0.7288572558013602,-63.28862995478231,82,33.86243386243386,4.0,756
rolling_756_2021-06-14,126.13342435161958,61.461651773388226,64.67177257823136,31.390362028601704,0.7629488911811187,-63.288629954782316,82,33.86243386243386,4.0,756
rolling_756_2021-09-13,128.7442728773026,63.325825177632765,65.41844769966983,31.713588618551782,0.769230232305375,-63.28862995478233,82,33.86243386243386,4.0,756
rolling_756_2021-12-10,212.23568951315036,88.33592193630562,123.89976757684474,45.03856325017757,0.9515561691402917,-63.28862995478233,82,30.952380952380953,3.0,756
rolling_756_2022-03-14,60.202506707228395,56.22067197401934,3.9818347332090553,16.069373664959663,0.5730343173515505,-63.28862995478231,82,26.455026455026452,4.0,756
rolling_756_2022-06-13,-12.296157836978205,36.14853729464191,-48.44469513162012,-4.234028810042057,0.273689267512301,-65.1564319475145,-1,29.365079365079367,3.0,756
rolling_756_2022-09-13,-6.06913681792941,37.19782322018597,-43.26696003811538,-2.0566892913845836,0.33343100382511287,-66.99824661115142,-1,37.698412698412696,3.0,756
rolling_756_2022-12-12,-24.965680674018852,33.31004274940288,-58.27572342342173,-9.392930374145681,0.25824695743335374,-74.10887392008274,-1,46.03174603174603,3.0,756
rolling_756_2023-03-15,26.64265937373247,50.95436508726752,-24.311705713535048,24.601086032882048,0.4759850727066565,-75.47684267106582,-1,53.17460317460318,2.0,756
rolling_756_2023-06-14,48.48434615734951,50.6823877002772,-2.1980415429276867,12.796084943809038,0.5246167766436589,-75.47684267106585,-1,53.17460317460318,2.0,756
